Rowid_,GAGE_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,06914990,1,2045,20450000.000000000000000,0,900,900,77.753545232273837,250.827576724285900,159006.000000000000000,9,0,9,0
,03255500,2,20211,202110000.000000000000000,0,900,900,206.698827371233480,335.701653122336840,4177590.000000000000000,11,0,7,17
,03271000,3,18038,180380000.000000000000000,0,900,900,63.818272535757842,142.349734284776450,1151154.000000000000000,11,3,900,9
,03271300,4,5182,51820000.000000000000000,0,900,900,100.091470474720180,216.662529316896840,518674.000000000000000,11,80,463,17
,03337000,5,1104,11040000.000000000000000,0,900,900,450.740942028985500,297.762440432714580,497618.000000000000000,6,463,17,463
,03337100,6,119,1190000.000000000000000,0,900,900,621.789915966386500,368.290917023727160,73993.000000000000000,6,900,7,900
,03351072,7,4218,42180000.000000000000000,0,900,900,24.857752489331435,118.027060743223590,104850.000000000000000,11,3,463,3
,03351310,8,4622,46220000.000000000000000,0,900,900,129.327563825183920,233.261444212717350,597752.000000000000000,11,80,463,80
,03353120,9,2129,21290000.000000000000000,0,900,900,360.183654297792370,341.096121649603220,766831.000000000000000,11,900,7,187
,03353160,10,773,7730000.000000000000000,0,900,900,408.078913324708940,187.398041916701200,315445.000000000000000,6,463,17,463
,03353180,11,877,8770000.000000000000000,0,900,900,274.908779931584950,268.670048333641940,241095.000000000000000,11,187,6,187
,03353600,12,6370,63700000.000000000000000,0,900,900,213.285086342229190,328.655350076551660,1358626.000000000000000,11,80,7,80
,03353620,13,3885,38850000.000000000000000,0,900,900,203.107335907335910,307.410364347636520,789072.000000000000000,11,80,7,80
,03353637,14,4446,44460000.000000000000000,0,900,900,102.869095816464240,184.847369782630980,457356.000000000000000,11,80,0,80
,04087030,15,8788,87880000.000000000000000,0,900,900,59.038347746927627,170.390632641423740,518829.000000000000000,11,3,463,7
,04087070,16,5179,51790000.000000000000000,0,900,900,116.772929136899010,250.369613994263320,604767.000000000000000,11,3,463,9
,04087088,17,4689,46890000.000000000000000,0,900,900,218.535082107059080,280.528072123080450,1024711.000000000000000,11,80,3,80
,04087119,18,2769,27690000.000000000000000,0,900,900,355.761285662694090,228.155090037641230,985103.000000000000000,10,463,3,463
,04087120,19,11154,111540000.000000000000000,0,900,900,229.265285996055240,310.086255622547700,2557225.000000000000000,11,80,7,80
,04087142,20,3907,39070000.000000000000000,0,900,900,502.322498080368580,243.551290357206970,1962574.000000000000000,10,463,7,463
,04087159,21,4809,48090000.000000000000000,0,900,900,406.317945518818870,309.312307092763430,1953983.000000000000000,11,463,9,463
,04087170,22,185317,1853170000.000000000000000,0,900,900,49.924151588899022,158.605102053560300,9251794.000000000000000,11,3,187,3
,04087204,23,6621,66210000.000000000000000,0,900,900,169.482706539797620,298.830595329046050,1122145.000000000000000,11,80,463,17
,04087214,24,3842,38420000.000000000000000,0,900,900,153.253253513794900,227.235252812710850,588799.000000000000000,11,80,3,80
,04087220,25,8852,88520000.000000000000000,0,900,900,99.906461816538638,197.247786801068000,884372.000000000000000,11,80,463,17
,04087240,26,36282,362820000.000000000000000,0,900,900,32.417865608290612,133.212061091765290,1176185.000000000000000,11,3,463,6
,04087257,27,9825,98250000.000000000000000,0,900,900,82.696081424936381,230.317240335674170,812489.000000000000000,11,3,463,6
,04093000,28,32120,321200000.000000000000000,0,900,900,75.192528019925277,197.393931620397210,2415184.000000000000000,11,3,463,6
,04094500,29,19214,192140000.000000000000000,0,900,900,51.360206099718958,163.479362386773970,986835.000000000000000,11,3,463,6
,04101370,30,9191,91910000.000000000000000,0,900,900,77.855293221629850,205.275750050790630,715568.000000000000000,11,3,463,7
,04106180,31,3644,36440000.000000000000000,0,900,900,51.633095499451152,153.810244235554680,188151.000000000000000,11,80,463,9
,04106300,32,1416,14160000.000000000000000,0,900,900,167.682203389830510,271.576131743933220,237438.000000000000000,11,80,6,80
,04106500,33,8070,80700000.000000000000000,0,900,900,75.791573729863700,176.866092146162860,611638.000000000000000,11,3,900,9
