Rowid_,GAGE_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,06914990,1,2045,20450000.000000000000000,0,900,900,79.990709046454768,250.574651847302820,163581.000000000000000,10,0,11,0
,03255500,2,20211,202110000.000000000000000,0,900,900,280.700806491514530,322.370680984609290,5673244.000000000000000,11,187,7,187
,03271000,3,18038,180380000.000000000000000,0,900,900,106.549562035702410,173.029452521308400,1921941.000000000000000,11,80,900,17
,03271300,4,5182,51820000.000000000000000,0,900,900,222.767657275183320,229.973529872845690,1154382.000000000000000,11,187,7,187
,03337000,5,1104,11040000.000000000000000,0,900,900,497.104166666666690,270.132178832159640,548803.000000000000000,5,463,80,463
,03337100,6,119,1190000.000000000000000,0,900,900,656.621848739495820,331.601056034157860,78138.000000000000000,4,900,187,900
,03351072,7,4218,42180000.000000000000000,0,900,900,55.472735893788524,125.944060757813430,233984.000000000000000,11,80,463,11
,03351310,8,4622,46220000.000000000000000,0,900,900,260.216572912159220,246.318705843997610,1202721.000000000000000,11,463,3,187
,03353120,9,2129,21290000.000000000000000,0,900,900,448.374354156881170,306.272691102304920,954589.000000000000000,10,463,9,463
,03353160,10,773,7730000.000000000000000,0,900,900,431.843467011642930,173.465678459756900,333815.000000000000000,5,463,80,463
,03353180,11,877,8770000.000000000000000,0,900,900,328.477765108323810,266.992068981451500,288075.000000000000000,11,463,7,187
,03353600,12,6370,63700000.000000000000000,0,900,900,323.022762951334360,309.541646183573220,2057655.000000000000000,11,463,7,187
,03353620,13,3885,38850000.000000000000000,0,900,900,267.937194337194340,302.690387952646460,1040936.000000000000000,11,80,3,187
,03353637,14,4446,44460000.000000000000000,0,900,900,191.031264057579850,203.426287161243580,849325.000000000000000,11,80,7,80
,04087030,15,8788,87880000.000000000000000,0,900,900,99.755575785161582,189.684399677991710,876652.000000000000000,11,80,0,17
,04087070,16,5179,51790000.000000000000000,0,900,900,179.111797644332880,267.509625153834010,927620.000000000000000,11,80,0,17
,04087088,17,4689,46890000.000000000000000,0,900,900,281.054809127745780,273.383048283020970,1317866.000000000000000,11,187,9,187
,04087119,18,2769,27690000.000000000000000,0,900,900,435.557602022390770,185.470036305306960,1206059.000000000000000,5,463,0,463
