Rowid_,GAGE_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,06914990,1,2045,20450000.000000000000000,0,900,900,77.967237163814175,250.781872514448880,159443.000000000000000,7,0,11,0
,03255500,2,20211,202110000.000000000000000,0,900,900,227.581020236504880,333.012455081179550,4599640.000000000000000,11,80,7,80
,03271000,3,18038,180380000.000000000000000,0,900,900,84.320822707617253,158.107977759049700,1520979.000000000000000,11,80,900,11
,03271300,4,5182,51820000.000000000000000,0,900,900,142.171362408336560,219.166668377357350,736732.000000000000000,11,80,6,80
,03337000,5,1104,11040000.000000000000000,0,900,900,477.384963768115940,282.384960208883290,527033.000000000000000,5,463,80,463
,03337100,6,119,1190000.000000000000000,0,900,900,640.907563025210040,347.596718699074700,76268.000000000000000,5,900,80,900
,03351072,7,4218,42180000.000000000000000,0,900,900,31.525841631104790,120.814335927450470,132976.000000000000000,11,3,463,3
,03351310,8,4622,46220000.000000000000000,0,900,900,180.185417568152300,238.825366376045910,832817.000000000000000,11,80,9,80
,03353120,9,2129,21290000.000000000000000,0,900,900,423.594645373414720,317.528576641552090,901833.000000000000000,11,463,6,463
,03353160,10,773,7730000.000000000000000,0,900,900,424.564036222509690,177.892906720833910,328188.000000000000000,5,463,80,463
,03353180,11,877,8770000.000000000000000,0,900,900,317.904218928164200,269.200962930785180,278802.000000000000000,11,463,6,187
,03353600,12,6370,63700000.000000000000000,0,900,900,245.316169544740970,327.918534134576930,1562664.000000000000000,11,80,9,80
,03353620,13,3885,38850000.000000000000000,0,900,900,236.324581724581720,304.770251972064840,918121.000000000000000,11,80,6,80
,03353637,14,4446,44460000.000000000000000,0,900,900,132.827485380116970,193.843210963491460,590551.000000000000000,11,80,7,80
,04087030,15,8788,87880000.000000000000000,0,900,900,73.973600364132906,179.366931503263120,650080.000000000000000,11,3,0,9
,04087070,16,5179,51790000.000000000000000,0,900,900,140.180922958100010,256.990792671443670,725997.000000000000000,11,3,7,11
,04087088,17,4689,46890000.000000000000000,0,900,900,252.727020686713590,276.703173668632990,1185037.000000000000000,10,80,9,187
,04087119,18,2769,27690000.000000000000000,0,900,900,396.214517876489710,210.342452875160150,1097118.000000000000000,7,463,11,463
,04087120,19,11154,111540000.000000000000000,0,900,900,253.793437331898870,308.590764611566780,2830812.000000000000000,11,80,9,80
,04087142,20,3907,39070000.000000000000000,0,900,900,506.010238034297400,240.474462539108120,1976982.000000000000000,10,463,7,463
,04087159,21,4809,48090000.000000000000000,0,900,900,434.091495113329190,295.756314937413830,2087546.000000000000000,11,463,9,463
,04087170,22,185317,1853170000.000000000000000,0,900,900,54.531715924604867,161.881246852521430,10105654.000000000000000,11,3,900,3
